artists,track_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Nirvana,Smells Like Teen Spirit,0.502,0.912,1,-4.556,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,alt-rock
Led Zeppelin,Stairway to Heaven - Remaster,0.338,0.34,9,-12.049,0.0339,0.58,0.0032,0.116,0.197,82.433,alt-rock
Queen,Bohemian Rhapsody - Remastered 2011,0.392,0.402,0,-9.961,0.0536,0.288,0.0,0.243,0.228,143.883,alt-rock
John Lennon,Imagine - Remastered 2010,0.547,0.257,0,-12.358,0.0252,0.907,0.183,0.0935,0.169,75.752,alt-rock
The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,0.723,0.863,2,-7.89,0.0338,0.0383,0.0317,0.128,0.931,136.302,alt-rock
Eagles,Hotel California - 2013 Remaster,0.579,0.508,2,-9.484,0.027,0.00574,0.000494,0.0575,0.609,147.125,alt-rock
Metallica,Enter Sandman,0.579,0.824,6,-8.71,0.03,0.00206,0.00903,0.059,0.635,123.331,alt-rock
Led Zeppelin,Whole Lotta Love - 1990 Remaster,0.412,0.902,9,-11.6,0.405,0.0484,0.131,0.405,0.422,89.74,alt-rock
Pink Floyd,Comfortably Numb,0.472,0.366,11,-12.595,0.0286,0.15,0.308,0.0837,0.171,127.167,alt-rock
U2,One,0.392,0.534,0,-8.793,0.0369,0.245,0.00104,0.155,0.325,181.305,alt-rock
Bruce Springsteen,Born to Run,0.27,0.944,4,-4.199,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,alt-rock
Deep Purple,Smoke on the Water,0.632,0.586,0,-11.333,0.0284,0.0983,0.581,0.0535,0.89,114.243,alt-rock
The Beatles,Hey Jude - Remastered 2015,0.386,0.607,10,-7.7,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,alt-rock
Black Sabbath,Paranoid - 2012 - Remaster,0.412,0.658,4,-12.051,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,alt-rock
The White Stripes,Seven Nation Army,0.726,0.463,0,-7.828,0.0799,0.00817,0.447,0.255,0.321,123.881,alt-rock
Lynyrd Skynyrd,Free Bird,0.249,0.834,0,-8.21,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,alt-rock
AC/DC,Back In Black,0.31,0.7,9,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,alt-rock
The Rolling Stones,Sympathy For The Devil - 50th Anniversary Edition,0.702,0.668,9,-9.237,0.214,0.518,0.0,0.0588,0.561,116.063,alt-rock
Pink Floyd,Wish You Were Here,0.481,0.262,7,-15.73,0.0414,0.735,0.0114,0.832,0.375,122.883,alt-rock
U2,With Or Without You - Remastered,0.54,0.429,2,-11.822,0.0285,0.000202,0.355,0.141,0.113,110.171,alt-rock
Guns N' Roses,Sweet Child O' Mine,0.454,0.91,6,-7.766,0.0448,0.0866,0.0996,0.116,0.629,125.116,alt-rock
U2,I Still Haven't Found What I'm Looking For,0.564,0.774,1,-9.424,0.0368,0.0135,0.00191,0.0861,0.657,100.894,alt-rock
Bob Dylan,Like a Rolling Stone,0.483,0.721,0,-6.836,0.032,0.729,0.0,0.189,0.562,95.261,alt-rock
Jimi Hendrix,All Along the Watchtower,0.438,0.805,8,-6.237,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,alt-rock
Red Hot Chili Peppers,Under the Bridge,0.559,0.345,4,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,alt-rock
Radiohead,Creep,0.515,0.43,7,-9.935,0.0369,0.0102,0.000141,0.129,0.104,91.841,alt-rock
Led Zeppelin,Kashmir - 1990 Remaster,0.48,0.536,2,-11.166,0.0427,0.488,4.22e-05,0.155,0.581,80.617,alt-rock
The Doors,Light My Fire,0.413,0.725,3,-5.787,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,alt-rock
The Who,My Generation - Stereo Version,0.412,0.782,2,-9.186,0.058,0.308,0.00822,0.0775,0.705,96.732,alt-rock
Boston,More Than a Feeling,0.377,0.682,7,-8.039,0.0299,0.000894,0.00217,0.0504,0.288,108.736,alt-rock
Pink Floyd,"Another Brick in the Wall, Pt. 2",0.694,0.394,0,-15.881,0.0428,0.0781,0.000677,0.247,0.719,104.126,alt-rock
Derek & The Dominos,Layla,0.404,0.902,1,-3.88,0.0665,0.577,0.297,0.287,0.497,115.669,alt-rock
The Rolling Stones,Gimme Shelter,0.634,0.63,1,-8.277,0.031,0.447,0.039,0.17,0.489,118.628,alt-rock
AC/DC,You Shook Me All Night Long,0.532,0.767,7,-5.509,0.0574,0.00287,0.000513,0.39,0.755,127.361,alt-rock
Pearl Jam,Alive,0.284,0.875,11,-6.069,0.0422,0.00752,0.000461,0.402,0.595,75.009,alt-rock
The Who,Won't Get Fooled Again - Original Album Version,0.686,0.92,2,-6.231,0.0566,0.301,0.27,0.0807,0.225,135.027,alt-rock
